Column,Index,True Value,Predicted Value,Error
FM,441,3.36,2.243160128800045,1.11684
FM,442,4.4,4.378714857754585,0.021285
FM,443,3.18,3.114910564737054,0.065089
FM,444,4.4,4.241378884907543,0.158621
FM,445,2.84,2.836022688931182,0.003977
FM,446,3.18,3.118925529240774,0.061074
FM,447,4.2,4.229805203943124,0.029805
FM,448,4.3,4.305714700860029,0.005715
FM,449,3.18,3.118925529240774,0.061074
FM,450,3.23,3.182462349541937,0.047538
MeanV,431,8.877,8.786691308602666,0.090309
MeanV,432,7.526,7.5841875771373966,0.058188
MeanV,433,5.12,5.073692647742975,0.046307
MeanV,434,5.12,5.073692647742975,0.046307
MeanV,435,8.221,8.494896869153742,0.273897
MeanV,436,5.12,5.073692647742975,0.046307
MeanV,437,7.394,7.525955905891545,0.131956
MeanV,438,9.274,9.130822057945231,0.143178
MeanV,439,10.655,7.731968914537482,2.923031
MeanV,440,5.12,5.279705372483226,0.159705
Density,421,2.954,2.9585441819096263,0.004544
Density,422,2.93,2.930243178628336,0.000243
Density,423,2.97,2.9709006752479143,0.000901
Density,424,2.97,2.9705557149054527,0.000556
Density,425,2.97,2.970447425068299,0.000447
Density,426,2.9,2.8959168954521015,0.004083
Density,427,2.905,2.9085205208507587,0.003521
Density,428,2.93,2.930243178628336,0.000243
Density,429,2.93,2.930243178628336,0.000243
Density,430,2.93,2.930243178628336,0.000243
Blain,411,6155.0,6196.244312863956,41.244313
Blain,412,6152.0,6152.160352279641,0.160352
Blain,413,5940.0,5648.342762434492,291.657238
Blain,414,6152.0,6145.823666196087,6.176334
Blain,415,6155.0,6098.308214690954,56.691785
Blain,416,5991.0,6001.044489381675,10.044489
Blain,417,5953.0,5918.626883497218,34.373117
Blain,418,6152.0,6145.823666196087,6.176334
Blain,419,6045.0,6028.4825028326395,16.517497
Blain,420,6152.0,6145.823666196087,6.176334
HG,401,1.0,1.0189958122550935,0.018996
HG,402,0.0,0.8698701055083368,0.86987
HG,403,1.0,1.0114461833787858,0.011446
HG,404,0.0,1.0790778644604155,1.079078
HG,405,1.0,1.0146945959006792,0.014695
HG,406,1.0,1.029597595913014,0.029598
HG,407,1.0,1.029597595913014,0.029598
HG,408,1.0,1.0136148561889051,0.013615
HG,409,1.0,0.945480363767877,0.05452
HG,410,1.0,1.0220857813437352,0.022086
AG,401,0.0,-0.010333920821426132,0.010334
AG,402,0.0,0.04827316128375797,0.048273
AG,403,0.0,-0.008751504044886407,0.008752
AG,404,0.0,-0.06329767104631696,0.063298
AG,405,0.0,-0.010550376244369983,0.01055
AG,406,0.0,-0.028453895794164463,0.028454
AG,407,0.0,-0.028453895794164463,0.028454
AG,408,0.0,-0.019739290750120264,0.019739
AG,409,0.0,0.0236211797657441,0.023621
AG,410,0.0,0.0026517712154429177,0.002652
DG,401,0.0,-0.01046360973647284,0.010464
DG,402,1.0,0.039274199165958354,0.960726
DG,403,0.0,-0.008652725892110885,0.008653
DG,404,1.0,-0.04165117664210302,1.041651
DG,405,0.0,-0.007910744252465546,0.007911
DG,406,0.0,-0.001307303722144798,0.001307
DG,407,0.0,-0.001307303722144798,0.001307
DG,408,0.0,-0.011333316799420207,0.011333
DG,409,0.0,-9.045646189770329e-05,9e-05
DG,410,0.0,-0.02906481703596009,0.029065
Gyp_per,391,25.0,25.191615084312314,0.191615
Gyp_per,392,40.0,36.58631975602704,3.41368
Gyp_per,393,25.0,25.305108750960642,0.305109
Gyp_per,394,40.0,29.75676854610487,10.243231
Gyp_per,395,30.0,30.83608448138206,0.836084
Gyp_per,396,0.0,11.081170084022146,11.08117
Gyp_per,397,25.0,24.95938604130326,0.040614
Gyp_per,398,25.0,25.369294259366043,0.369294
Gyp_per,399,25.0,24.778087747796732,0.221912
Gyp_per,400,25.0,28.258869725088044,3.25887
WC_per,381,0.4,0.42798682576730124,0.027987
WC_per,382,0.4,0.44716695849789456,0.047167
WC_per,383,0.4,0.42798682576730124,0.027987
WC_per,384,0.4,0.44716695849789456,0.047167
WC_per,385,0.4,0.4587193614550983,0.058719
WC_per,386,0.5,0.4191440234301165,0.080856
WC_per,387,0.4,0.41599458632329134,0.015995
WC_per,388,0.4,0.41599458632329134,0.015995
WC_per,389,0.4,0.41599458632329134,0.015995
WC_per,390,0.4,0.4587193614550983,0.058719
