Column,Index,True Value,Predicted Value,Error
FM,441,3.36,2.262657967399236,1.0973420326007637
FM,442,4.4,4.3968910084283195,0.0031089915716808747
FM,443,3.18,3.109954451317968,0.07004554868203217
FM,444,4.4,4.160796586113311,0.2392034138866892
FM,445,2.84,2.8374033406116266,0.002596659388373279
FM,446,3.18,3.1658390697038983,0.014160930296101881
FM,447,4.2,4.1990273351270275,0.0009726648729726506
FM,448,4.3,4.3518541203300245,0.05185412033002468
FM,449,3.18,3.1658390697038983,0.014160930296101881
FM,450,3.23,3.201085465378208,0.028914534621792054
MeanV,431,8.877,8.778986765733693,0.09801323426630759
MeanV,432,7.526,7.596720870107569,0.07072087010756878
MeanV,433,5.12,5.100032879420695,0.019967120579305053
MeanV,434,5.12,5.100032879420695,0.019967120579305053
MeanV,435,8.221,8.153280687419944,0.06771931258005637
MeanV,436,5.12,5.100032879420695,0.019967120579305053
MeanV,437,7.394,7.618757988120455,0.2247579881204551
MeanV,438,9.274,9.139256268313618,0.1347437316863811
MeanV,439,10.655,7.83064785942176,2.824352140578239
MeanV,440,5.12,5.311922631182764,0.19192263118276376
Density,421,2.954,2.9509727931308225,0.0030272068691776788
Density,422,2.93,2.9298533945709218,0.0001466054290784058
Density,423,2.97,2.970266855982693,0.00026685598269260424
Density,424,2.97,2.9720501462718847,0.00205014627188449
Density,425,2.97,2.97004733429845,4.733429844971937e-05
Density,426,2.9,2.8678973928428477,0.032102607157152185
Density,427,2.905,2.906239472804031,0.0012394728040310277
Density,428,2.93,2.9298533945709218,0.0001466054290784058
Density,429,2.93,2.9298533945709218,0.0001466054290784058
Density,430,2.93,2.9298533945709218,0.0001466054290784058
Blain,411,6155.0,6164.020102530067,9.020102530066652
Blain,412,6152.0,6147.070026094154,4.9299739058460545
Blain,413,5940.0,5998.851679094032,58.85167909403208
Blain,414,6152.0,6136.740464413412,15.259535586587845
Blain,415,6155.0,6104.884288551788,50.115711448212096
Blain,416,5991.0,6144.462611534792,153.4626115347919
Blain,417,5953.0,5931.552046214725,21.447953785274876
Blain,418,6152.0,6136.740464413412,15.259535586587845
Blain,419,6045.0,6031.672439054898,13.32756094510205
Blain,420,6152.0,6136.740464413412,15.259535586587845
HG,401,1.0,0.8617197408576364,0.13828025914236364
HG,402,0.0,0.7644894654020861,0.7644894654020861
HG,403,1.0,0.8732091199699904,0.1267908800300096
HG,404,0.0,0.8466310703675884,0.8466310703675884
HG,405,1.0,0.8721785190333396,0.12782148096666035
HG,406,1.0,0.869499786728641,0.13050021327135897
HG,407,1.0,0.869499786728641,0.13050021327135897
HG,408,1.0,0.8515475311967659,0.14845246880323415
HG,409,1.0,0.8096324998393285,0.1903675001606715
HG,410,1.0,0.9048279269704143,0.09517207302958575
AG,401,0.0,0.047864884923011414,0.047864884923011414
AG,402,0.0,0.11454050004984753,0.11454050004984753
AG,403,0.0,0.05243698325349896,0.05243698325349896
AG,404,0.0,0.06202105915979896,0.06202105915979896
AG,405,0.0,0.03431720167990436,0.03431720167990436
AG,406,0.0,0.03782166308163333,0.03782166308163333
AG,407,0.0,0.03782166308163333,0.03782166308163333
AG,408,0.0,0.10138904125648115,0.10138904125648115
AG,409,0.0,0.04953227111800715,0.04953227111800715
AG,410,0.0,-0.02642696250018084,0.02642696250018084
DG,401,0.0,0.05939138598796685,0.05939138598796685
DG,402,1.0,0.028193632593727536,0.9718063674062725
DG,403,0.0,0.04145240998020776,0.04145240998020776
DG,404,1.0,0.07658321043928115,0.9234167895607188
DG,405,0.0,0.0417255064538541,0.0417255064538541
DG,406,0.0,0.05049524070207294,0.05049524070207294
DG,407,0.0,0.05049524070207294,0.05049524070207294
DG,408,0.0,0.03367977962183161,0.03367977962183161
DG,409,0.0,0.03754538775078792,0.03754538775078792
DG,410,0.0,0.06396539320379908,0.06396539320379908
Gyp_per,391,25.0,25.130054982005333,0.13005498200533339
Gyp_per,392,40.0,36.873430907673686,3.1265690923263136
Gyp_per,393,25.0,25.016401214400744,0.01640121440074438
Gyp_per,394,40.0,30.43682015073599,9.56317984926401
Gyp_per,395,30.0,31.837965287850253,1.8379652878502526
Gyp_per,396,0.0,22.42745012574225,22.42745012574225
Gyp_per,397,25.0,25.05616218778841,0.05616218778840931
Gyp_per,398,25.0,25.45415907088253,0.45415907088252894
Gyp_per,399,25.0,24.731621473286346,0.26837852671365425
Gyp_per,400,25.0,28.273885007252726,3.2738850072527264
WC_per,381,0.4,0.4337078532459009,0.033707853245900865
WC_per,382,0.4,0.4486486824822961,0.04864868248229609
WC_per,383,0.4,0.4337078532459009,0.033707853245900865
WC_per,384,0.4,0.4486486824822961,0.04864868248229609
WC_per,385,0.4,0.4619751356201804,0.061975135620180366
WC_per,386,0.5,0.4120693747220535,0.08793062527794648
WC_per,387,0.4,0.4167463058896151,0.016746305889615065
WC_per,388,0.4,0.4167463058896151,0.016746305889615065
WC_per,389,0.4,0.4167463058896151,0.016746305889615065
WC_per,390,0.4,0.4619751356201804,0.061975135620180366
