,Initial,Final,Interval,H2S,Flow,H3,H4,D1,D3,D28,D91,D180,D365
138,129,141,12,,,,,,,,,,
139,126,165,39,,,,,,,,,,
140,,,,,,27.1,,61.5,71.1,80.6,,,
141,,,,,,6.4,,23.3,25.8,35,,,
142,0,0,0,,,,,,,,,,
143,0,0,0,,,,,,,,,,
144,5,7,2,,,,,,,,,,
145,8,13,5,,,,,,,,,,
146,12,18,6,,,42.1,,49.8,,,,,
147,0,0,0,,,,,,,,,,
148,0,0,0,,,,,,,,,,
149,6,9,3,,,,,,,,,,
150,9,17,8,,,,,,,,,,
151,28,34,6,,,41.1,,48.5,,,,,
152,0,0,0,,,,,,,,,,
153,1,3,2,,,,,,,,,,
154,3,11,8,,,,,,,,,,
155,11,19,8,,,,,,,,,,
156,10,21,11,,,40.2,,47.9,,,,,
157,0,0,0,,,,,,,,,,
158,0,3,3,,,,,,,,,,
159,1,7,6,,,,,,,,,,
160,3,17,14,,,,,,,,,,
161,8,25,17,,,40,,47.5,,,,,
162,0,0,0,,,,,,,,,,
163,2,4,2,,,,,,,,,,
164,2,10,8,,,,,,,,,,
165,18,28,10,,,,,,,,,,
166,38,44,6,,,39.9,,47.4,,,,,
167,,,,,160,0.7,,1.7,2.6,2.5,,,
168,,,,,147.5,0.8,,2.5,3.2,3.5,,,
169,,,,,135,0.4,,14,2.1,1.8,,,
170,,,,,140,0.5,,1.5,2.2,1.8,,,
171,,,,,152.5,0.3,,1.3,1.5,1.5,,,
172,,,,,170,0.9,,2.9,3.7,3.8,,,
173,,,,,187.5,2.1,,3.9,4.4,4.4,,,
174,,,,,165,1.7,,3.4,3.9,4.1,,,
175,,,,,130,1.6,,3.3,3.7,4,,,
176,,,,,187.5,0.8,,1,1.4,1.8,,,
177,,,,,145,0.9,,1.1,2.1,2.3,,,
178,,,,,145,1.3,,1.4,2.6,2.8,,,
179,,,,,175,0.4,,0.9,1.4,1.6,,,
180,,,,,180,0.6,,1.3,1.5,1.5,,,
181,,,,,135,0.5,,1.1,1.2,1.2,,,
182,,,,,155,1.1,,1.8,2.6,2.3,,,
183,,,,,170,2.6,,4.2,4.5,5.3,,,
184,,,,137,190,56.1,,66.1,71.2,79.7,,,
185,,,,101,187.5,40.8,,47.2,49.2,57.9,,,
186,,,,51,237.5,53.3,,64.4,67.4,74,,,
187,,,,,190,50.2,,57.1,65.1,68.8,,,
188,,,,,192.5,44.5,,61.9,60,64.4,,,
189,,,,,220,42.4,,52.7,58.6,66.7,,,
190,,,,,,10.4,,13.8,,,,,
191,,,,,,8.3,,12.8,,,,,
192,,,,,250,7.48296875,,24.629166666666666,31.3359375,35.521875,38.040625,43.0171875,42.025
193,,,,,265,5.91875,,33.2734375,44.952083333333334,53.3578125,54.56875,62.03958333333334,62.49166666666666
194,,,,,252.5,5.2670312500000005,,36.596875,46.28541666666667,54.625,56.7640625,66.4484375,64.92083333333333
195,,,,,255,5.315416666666667,,33.65208333333333,45.02916666666667,58.33958333333334,57.103125,69.25625,66.09375
196,,,,,262.5,5.1176562500000005,,31.2359375,45.23958333333333,59.9,66.61666666666666,75.18125,75.8203125
197,,,,,250,31.08125,,53.895833333333336,60.86875,70.0421875,70.8703125,78.76041666666666,76.38125
198,,,,,220,26.4515625,,53.1203125,60.53333333333334,75.84583333333333,77.10833333333333,87.16458333333334,84.80625
199,,,,,227.5,24.43125,,52.99375,59.21458333333334,72.30625,77.584375,85.50416666666666,78.11041666666667
200,,,,,212.5,20.84375,,52.177083333333336,59.2625,71.50208333333333,77.29375,81.28333333333333,76.48125
201,,,,,215,23.884375,,45.3265625,57.547916666666666,69.1484375,76.40625,84.98541666666667,83.12916666666666
202,,,,,210,17.1828125,,38.296875,48.05625,64.21875,69.60208333333334,73.5984375,75.23333333333333
203,,,,,210,13.94375,,33.225,42.184375,60.1796875,60.9765625,71.734375,64.5375
204,,,,,210,12.2609375,,29.059375,39.40416666666667,51.7546875,57.010416666666664,67.00625,54.490625
205,,,,,240,1.17546875,,10.5015625,15.1265625,21.0578125,23.80625,33.515625,35.1
206,,,,,247.5,0.9390625,,4.204166666666667,17.8640625,29.791666666666668,25.87708333333333,38.090625,38.391666666666666
207,,,,,237.5,0.8859375,,9.5828125,24.56875,35.01875,40.3109375,44.3328125,48.35208333333333
208,,,,,255,0.7592187499999999,,8.4484375,29.42291666666667,41.514583333333334,42.9625,47.5421875,52.778125
209,,,,,267.5,0.8899999999999999,,12.9421875,29.44375,43.06666666666667,41.346875,53.05625,67.315625
210,,,,,217.5,28.778125,,32.4234375,35,38.540625,43.196875,53.7703125,52.5359375
211,,,,,220,36.3234375,,48.3453125,53.172916666666666,53.596875,60.520833333333336,71.48125,66.7890625
212,,,,,210,26.184375,,50.63125,64.26875,67.0765625,68.2765625,82.353125,82.82291666666666
213,,,,,205,24.4109375,,45.375,56.98125,68.559375,71.6390625,86.73541666666667,83.8734375
214,,,,,210,16.1984375,,42.38333333333333,49.2734375,57.0375,55.190625,65.90625,62.15
215,,,,,212.5,9.10625,,40.016666666666666,46.4078125,55.4515625,60.06666666666666,69.4578125,70.89583333333334
216,,,,,210,8.43046875,,34.68541666666667,41.48958333333333,52.6109375,60.8953125,66.55416666666666,73.47083333333333
217,,,,,210,4.86328125,,26.322916666666668,34,48.39375,59.08541666666666,63.625,59.1140625
218,2,6,4,,,,,,,,,,
219,8,12,4,,,,,,,,,,
220,29,32,3,,,,,,,,,,
221,33,36,3,,,,,,,,,,
222,29,37,8,,,,,,,,,,
223,36,40,4,,,,,,,,,,
