,MeanV,Density,Blain
261,8.877,2.954,6155
262,8.877,2.954,6155
263,8.877,2.954,6155
264,8.877,2.954,6155
265,8.877,2.954,6155
266,8.877,2.954,6155
267,8.877,2.954,6155
268,8.877,2.954,6155
269,8.877,2.954,6155
270,5.12,2.93,6152
271,5.12,2.93,6152
272,5.12,2.93,6152
273,5.12,2.93,6152
274,5.12,2.93,6152
275,5.12,2.93,6152
276,5.12,2.93,6152
277,5.12,2.93,6152
278,7.394,3.1,6286
279,7.394,3.1,6286
280,7.394,3.1,6286
281,7.394,3.1,6286
282,7.556,3.3,6285
283,7.556,3.3,6285
284,7.556,3.3,6285
285,7.556,3.3,6285
286,7.842,2.9,6245
287,7.842,2.9,6245
288,7.842,2.9,6245
289,7.842,2.9,6245
290,7.425,2.9,6244
291,7.425,2.9,6244
292,7.425,2.9,6244
293,7.425,2.9,6244
294,7.682,3,6069
295,7.682,3,6069
296,7.682,3,6069
297,7.682,3,6069
298,8.047,3,5940
299,8.047,3,5940
300,8.047,3,5940
301,8.047,3,5940
302,7.841,2.9,6041
303,7.841,2.9,6041
304,7.841,2.9,6041
305,7.841,2.9,6041
306,7.745,2.8,6137
307,7.745,2.8,6137
308,7.745,2.8,6137
309,7.745,2.8,6137
310,7.214,2.8,6208
311,7.214,2.8,6208
312,7.214,2.8,6208
313,7.214,2.8,6208
314,8.741,2.8,6113
315,8.741,2.8,6113
316,8.741,2.8,6113
317,8.741,2.8,6113
318,5.12,2.93,6152
319,5.12,2.93,6152
320,5.12,2.93,6152
321,5.12,2.93,6152
322,5.12,2.93,6152
323,5.12,2.93,6152
324,5.12,2.93,6152
325,5.12,2.93,6152
326,5.12,2.93,6152
327,5.12,2.93,6152
328,5.12,2.93,6152
329,5.12,2.93,6152
330,5.12,2.93,6152
331,5.12,2.93,6152
332,5.12,2.93,6152
333,5.12,2.93,6152
334,5.12,2.93,6152
335,5.12,2.93,6152
336,5.12,2.93,6152
337,5.12,2.93,6152
338,5.12,2.93,6152
339,5.12,2.93,6152
340,5.12,2.93,6152
341,5.12,2.93,6152
342,5.12,2.93,6152
343,5.12,2.93,6152
344,5.12,2.93,6152
345,5.12,2.93,6152
346,5.12,2.93,6152
347,5.12,2.93,6152
348,5.12,2.93,6152
349,5.12,2.93,6152
350,5.12,2.93,6152
351,5.12,2.93,6152
352,5.12,2.93,6152
353,5.12,2.93,6152
354,5.12,2.93,6152
355,5.12,2.93,6152
356,5.12,2.93,6152
357,5.12,2.93,6152
358,5.12,2.93,6152
359,5.12,2.93,6152
360,5.12,2.93,6152
361,5.12,2.93,6152
362,5.12,2.93,6152
363,5.12,2.93,6152
364,5.12,2.93,6152
365,5.12,2.93,6152
366,5.12,2.93,6152
367,5.12,2.93,6152
368,5.12,2.93,6152
369,5.12,2.93,6152
370,5.12,2.93,6152
371,5.12,2.93,6152
372,5.12,2.93,6152
373,5.12,2.93,6152
374,7.394,2.97,5998
375,10.655,2.97,5998
376,7.394,2.97,5998
377,7.394,2.97,5998
378,7.394,2.97,5998
379,10.655,2.97,5998
380,10.655,2.97,5998
381,7.394,2.97,5998
382,7.394,2.97,5998
383,7.394,2.97,5998
384,10.655,2.97,5998
385,10.655,2.97,5998
386,7.394,2.97,5998
387,7.394,2.97,5998
388,7.394,2.97,5998
389,10.655,2.97,5998
390,10.655,2.97,5998
391,7.394,2.97,5998
392,7.394,2.97,5998
393,7.394,2.97,5998
394,10.655,2.97,5998
395,10.655,2.97,5998
396,7.995,3,6156
397,8.652,2.8,5970
398,8.645,3,5914
399,8.024,2.8,6127
400,8.011,2.9,6113
401,7.994,2.8,6043
402,,,
403,,,
404,,,
405,,,
406,,,
407,9.452,3.1,5991
408,9.452,3.1,5991
409,9.452,3.1,5991
410,9.452,3.1,5991
411,9.452,3.1,5991
412,9.452,3.1,5991
413,8.762,3,6024
414,8.762,3,6024
415,8.762,3,6024
416,8.762,3,6024
417,8.762,3,6024
418,8.762,3,6024
419,8.241,3.2,6084
420,8.241,3.2,6084
421,8.241,3.2,6084
422,8.241,3.2,6084
423,8.241,3.2,6084
424,8.241,3.2,6084
425,7.394,2.97,5998
426,7.394,2.97,5998
427,7.394,2.97,5998
428,7.394,2.97,5998
429,7.394,2.97,5998
430,7.394,2.97,5998
431,7.394,2.97,5998
432,7.394,2.97,5998
433,7.394,2.97,5998
434,7.394,2.97,5998
435,7.394,2.97,5998
436,7.394,2.97,5998
437,7.394,2.97,5998
438,7.394,2.97,5998
439,7.394,2.97,5998
440,7.394,2.97,5998
441,7.394,2.97,5998
442,7.394,2.97,5998
443,7.394,2.97,5998
444,7.394,2.97,5998
445,7.394,2.97,5998
446,7.394,2.97,5998
447,7.394,2.97,5998
448,7.394,2.97,5998
449,7.394,2.97,5998
450,7.394,2.97,5998
451,7.526,3,5987
452,7.526,3,5987
453,7.526,3,5987
454,7.526,3,5987
455,7.526,3,5987
456,7.526,3,5987
457,7.526,3,5987
458,7.526,3,5987
459,7.526,3,5987
460,7.526,3,5987
461,7.526,3,5987
