,Index,RMth,No,Class1,Class2,CaO,Al2O3,SiO2,Fe2O3,SO3,MgO,etc,FM
476,240712-04,2024.06,4,현대,시멘트,49.11,25.67,9.04,5.37,0.46,6.52,3.8300000000000125,4.3
477,240712-05,2024.06,5,현대,시멘트,49.11,25.67,9.04,5.37,0.46,6.52,3.8300000000000125,4.3
478,240718-01,2024.06,1,현대,시멘트,49.11,25.67,9.04,5.37,0.46,6.52,3.8300000000000125,4.3
479,240718-02,2024.06,2,현대,시멘트,49.11,25.67,9.04,5.37,0.46,6.52,3.8300000000000125,4.3
480,240718-03,2024.06,3,현대,시멘트,49.11,25.67,9.04,5.37,0.46,6.52,3.8300000000000125,4.3
481,240718-04,2024.06,4,현대,시멘트,49.11,25.67,9.04,5.37,0.46,6.52,3.8300000000000125,4.3
482,240718-05,2024.06,5,현대,시멘트,49.11,25.67,9.04,5.37,0.46,6.52,3.8300000000000125,4.3
483,240718-06,2024.06,6,현대,시멘트,49.11,25.67,9.04,5.37,0.46,6.52,3.8300000000000125,4.3
484,240718-07,2024.06,7,현대,시멘트,49.11,25.67,9.04,5.37,0.46,6.52,3.8300000000000125,4.3
485,240718-08,2024.06,8,현대,시멘트,49.11,25.67,9.04,5.37,0.46,6.52,3.8300000000000125,4.3
486,240718-09,2024.06,9,현대,시멘트,49.11,25.67,9.04,5.37,0.46,6.52,3.8300000000000125,4.3
487,240718-10,2024.06,10,현대,시멘트,49.11,25.67,9.04,5.37,0.46,6.52,3.8300000000000125,4.3
488,240718-11,2024.06,11,현대,시멘트,49.11,25.67,9.04,5.37,0.46,6.52,3.8300000000000125,4.3
489,240718-12,2024.06,12,현대,시멘트,49.11,25.67,9.04,5.37,0.46,6.52,3.8300000000000125,4.3
490,240722-01,2024.06,1,현대,시멘트,49.11,25.67,9.04,5.37,0.46,6.52,3.8300000000000125,4.3
491,240722-02,2024.06,2,현대,시멘트,49.11,25.67,9.04,5.37,0.46,6.52,3.8300000000000125,4.3
492,240722-03,2024.06,3,현대,시멘트,49.11,25.67,9.04,5.37,0.46,6.52,3.8300000000000125,4.3
493,240722-04,2024.06,4,현대,시멘트,49.11,25.67,9.04,5.37,0.46,6.52,3.8300000000000125,4.3
494,240806-01,2023.12,1,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
495,240806-02,2023.12,2,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
496,240806-03,2023.12,3,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
497,240806-04,2023.12,4,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
498,240806-05,2023.12,5,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
499,240806-06,2023.12,6,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
500,240806-07,2023.12,7,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
501,240806-08,2023.12,8,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
502,240806-09,2023.12,9,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
503,240806-10,2023.12,10,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
504,240806-11,2023.12,11,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
505,240806-12,2023.12,12,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
506,240806-13,2023.12,13,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
507,240806-14,2023.12,14,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
508,240812-01,2023.12,1,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
509,240812-02,2023.12,2,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
510,240812-03,2023.12,3,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
511,240812-04,2023.12,4,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
512,240812-05,2023.12,5,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
513,240812-06,2023.12,6,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
514,240812-07,2023.12,7,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
515,240812-08,2023.12,8,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
516,240812-09,2023.12,9,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
517,240812-10,2023.12,10,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
518,240812-11,2023.12,11,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
519,240812-12,2023.12,12,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
520,240812-13,2023.12,13,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
521,240812-14,2023.12,14,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
522,240812-15,2023.12,15,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
523,240812-16,2023.12,16,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
524,240812-17,2023.12,17,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
525,240812-18,2023.12,18,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
526,240812-19,2023.12,19,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
527,240812-20,2023.12,20,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
528,240812-21,2023.12,21,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
529,240813-01,2023.12,1,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
530,240813-02,2023.12,2,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
531,240813-03,2023.12,3,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
532,240813-04,2023.12,4,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
533,240813-05,2023.12,5,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
534,240813-06,2023.12,6,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
535,240813-07,2023.12,7,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
536,240814-01,2023.12,1,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
537,240814-02,2023.12,2,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
538,240814-03,2023.12,3,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
539,240814-04,2023.12,4,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
540,240814-05,2023.12,5,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
541,240814-06,2023.12,6,세아,시멘트,47.46,27.91,8.34,0.68,4.12,6.1,5.389999999999986,3.23
542,241220-33%,2024.11,1,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
543,241220-66%,2024.11,2,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
544,241220-100%,2024.11,3,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
545,241220-133%,2024.11,4,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
546,241230-30RPM,2024.11,1,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
547,241230-45RPM,2024.11,2,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
548,241230-60RPM,2024.11,3,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
549,250102-5kg,2024.11,1,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
550,250102-10kg,2024.11,2,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
551,250102-15kg,2024.11,3,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
552,250103-30min,2024.11,1,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
553,250103-40min,2024.11,2,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
554,250103-50min,2024.11,3,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
555,250103-60min,2024.11,4,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
556,250103-70min,2024.11,5,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
557,250103-80min,2024.11,6,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
558,250103-90min,2024.11,7,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
559,250103-100min,2024.11,8,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
560,250103-110min,2024.11,9,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
561,250103-120min,2024.11,10,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
562,250103-130min,2024.11,11,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
563,250103-140min,2024.11,12,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
564,250103-150min,2024.11,13,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
565,250121-0min,2024.11,1,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
566,250121-40min,2024.11,2,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
567,250121-60min,2024.11,3,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
568,250121-80min,2024.11,4,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
569,250121-120min,2024.11,5,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
570,250121-180min,2024.11,6,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
571,250207-01,2024.11,1,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
572,250207-02,2024.11,2,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
573,250207-03,2024.11,3,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
574,250207-04,2024.11,4,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
575,250207-05,2024.11,5,세아,시멘트,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
576,250207-06,2024.11,6,세아,시멘트,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
577,250207-07,2024.11,7,세아,시멘트,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
578,250207-08,2024.11,8,세아,시멘트,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
579,250207-09,2024.11,9,세아,시멘트,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
580,250207-10,2024.11,10,세아,시멘트,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
581,250207-11,2024.11,11,세아,시멘트,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
582,250220-01,2024.11,1,세아,시멘트,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
583,250220-02,2024.12,1,현대,시멘트,46.7,31.2,11.2,3.18,0.573,4.04,3.106999999999985,4.5
584,250220-03,2024.12,2,현대,시멘트,46.7,31.2,11.2,3.18,0.573,4.04,3.106999999999985,4.5
585,250221-01,2024.11,1,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
586,250221-02,2024.11,2,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,0.06
587,250221-03,2024.11,3,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,0.25
588,250221-04,2024.11,4,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,0.94
589,250221-05,2024.11,5,세아,급결재,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,1.94
590,250221-06,2024.11,6,세아,시멘트,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
591,250221-07,2024.11,7,세아,시멘트,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,0.06
592,250221-08,2024.11,8,세아,시멘트,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,0.25
593,250221-09,2024.11,9,세아,시멘트,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,0.94
594,250221-10,2024.11,10,세아,시멘트,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,1.94
595,250222-01,2024.11,1,세아,시멘트,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,0.06
596,250222-02,2024.11,2,세아,시멘트,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,0.25
597,250222-03,2024.11,3,세아,시멘트,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,0.94
598,250222-04,2024.11,4,세아,시멘트,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,1.94
599,250224-01,2024.11,1,세아,시멘트,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
600,250224-02,2024.12,2,현대,시멘트,46.7,31.2,11.2,3.18,0.573,4.04,3.106999999999985,4.5
601,250304-01,2024.11,1,세아,시멘트,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
602,250304-02,2024.11,1,세아,시멘트,49.1,27.28,11.62,1.18,4.29,5.42,1.1099999999999852,3.36
603,250304-03,2024.12,1,현대,시멘트,46.7,31.2,11.2,3.18,0.573,4.04,3.106999999999985,4.5
604,250305-04,2024.12,1,현대,시멘트,46.7,31.2,11.2,3.18,0.573,4.04,3.106999999999985,4.5
